State of Residence,Migrant Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,8423,St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8424,St Vinc/Grenad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8425,Trinidad/Tobago,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
New South Wales,Arrival,8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8428,"Virgin Is, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8434,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,9000,Sub-Saha Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,9100,Cent & W Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
